empresa,sector,per,roe,deuda_equity,dividend_yield,market_cap,ebitda
Acciona,Industrials,15.156038,0.17834,214.845,2.42,12176431104,1900000000.0
Acciona Energía,Utilities,10.64,0.11143,82.824,2.12,6901599232,1480999936.0
Acerinox,Basic Materials,0.0,-0.02321,103.954,5.2,3011886592,340735008.0
ACS,Industrials,29.264305,0.23493999,298.535,1.9,27978852352,2110587008.0
Aena,Industrials,18.246479,0.24757999,82.546,4.24,38864998400,3660858112.0
Almirall,Healthcare,52.090908,0.03102,23.301,1.6,2459669248,203204992.0
Amadeus,Technology,17.036545,0.26942,66.532,2.76,22038427648,2447500032.0
ArcelorMittal,Basic Materials,12.685237,0.060149997,23.719,1.12,34661670912,4371999744.0
Bankinter,Financial Services,11.350428,0.17739001,0.0,5.58,11934686208,0.0
BBVA,Financial Services,10.369318,0.18268,0.0,5.08,103623696384,0.0
CaixaBank,Financial Services,12.525001,0.15649,0.0,5.08,70052610048,0.0
Cellnex,Real Estate,0.0,-0.024619998,164.392,1.33,20151857152,2519334912.0
Colonial,Real Estate,9.348214,0.057490002,74.802,5.8,3243525120,325566016.0
Endesa,Utilities,17.028572,0.23938999,108.667,3.73,37105733632,5065999872.0
Enagás,Utilities,11.77907,0.14429,138.207,6.64,3949828864,469016992.0
Ferrovial,Industrials,46.776855,0.14317,140.013,1.63,40673431552,1456999936.0
Grifols,Healthcare,16.967272,0.061690003,126.832,1.61,6351128576,1697230976.0
IAG,Industrials,5.9514284,0.48540002,187.872,2.4,19018686464,6304999936.0
Iberdrola,Utilities,23.494116,0.10325,93.674,3.36,134954172416,14700000256.0
Indra,Technology,22.862904,0.26545,87.879,0.5,9935469568,563246976.0
Inditex,Consumer Cyclical,26.860104,0.31045,29.1,1.26,161552465920,9384999936.0
Logista,Industrials,15.023924,0.38551,9.257,6.46,4148228864,405787008.0
Mapfre,Financial Services,10.081081,0.17535,28.342,4.5,11428203520,3680199936.0
Meliá,Consumer Cyclical,11.584416,0.17797,207.008,1.64,1964100608,450911008.0
Merlin,Real Estate,10.085714,0.10094,62.814,3.02,7946931200,427563008.0
Naturgy,Utilities,11.806452,0.20716,147.393,9.38,23734204416,4933000192.0
Puig,N/A,14.857144,0.0,0.0,2.44,14924016640,0.0
Redeia,Utilities,16.966667,0.10127,117.569,5.3,8252031488,1073539968.0
Repsol,Energy,14.759259,0.07405,47.961,4.73,26518759424,3960999936.0
Sabadell,Financial Services,12.28,0.095769994,0.0,6.72,15257202688,0.0
Santander,Financial Services,11.464286,0.12685001,0.0,2.63,139695161344,0.0
Sacyr,Industrials,38.254547,0.10955,389.711,2.26,3365225216,1224620032.0
Solaria,Utilities,19.790909,0.26388,190.532,0.0,2720180736,268808992.0
Telefónica,Communication Services,0.0,-0.08719,235.405,8.42,20304547840,7113999872.0
Unicaja,Financial Services,10.032,0.09159,0.0,7.02,6441572864,0.0
