empresa,fecha,ultimo,var,var_pct,maximo,minimo,volumen
ACS,2025-01-02,46.86,0.0,0.0,46.86,46.32,309661
Acciona,2025-01-02,108.09,0.0,0.0,108.09,105.38,54282
Acerinox,2025-01-02,8.9,0.0,0.0,8.93,8.75,791330
Aena,2025-01-02,19.28,0.0,0.0,19.28,18.91,2174740
Amadeus,2025-01-02,66.72,0.0,0.0,66.72,65.8,724970
BBVA,2025-01-02,8.78,0.0,0.0,8.93,8.47,9691109
CaixaBank,2025-01-02,4.89,0.0,0.0,4.96,4.72,8606500
Cellnex,2025-01-02,30.74,0.0,0.0,30.83,30.11,1746146
Colonial,2025-01-02,4.98,0.0,0.0,5.0,4.91,918908
Enagás,2025-01-02,11.61,0.0,0.0,11.62,11.46,1058382
Endesa,2025-01-02,19.71,0.0,0.0,19.75,19.41,2465389
Ferrovial,2025-01-02,40.17,0.0,0.0,40.25,39.52,2656079
Grifols,2025-01-02,9.35,0.0,0.0,9.35,9.06,1165499
IAG,2025-01-02,3.56,0.0,0.0,3.58,3.45,16616456
Iberdrola,2025-01-02,12.84,0.0,0.0,12.85,12.6,25539851
Inditex,2025-01-02,48.61,0.0,0.0,48.66,47.55,1124118
Indra,2025-01-02,17.08,0.0,0.0,17.36,16.93,381228
Logista,2025-01-02,26.15,0.0,0.0,26.2,25.99,133683
Mapfre,2025-01-02,2.37,0.0,0.0,2.37,2.32,2128106
Meliá,2025-01-02,7.33,0.0,0.0,7.33,7.19,203316
Merlin,2025-01-02,9.81,0.0,0.0,9.91,9.7,519520
Naturgy,2025-01-02,22.38,0.0,0.0,22.41,21.98,280427
Redeia,2025-01-02,15.78,0.0,0.0,15.8,15.6,600792
Repsol,2025-01-02,10.62,0.0,0.0,10.65,10.5,4243232
Sabadell,2025-01-02,1.71,0.0,0.0,1.72,1.64,12156638
Sacyr,2025-01-02,3.06,0.0,0.0,3.06,3.01,10316193
Santander,2025-01-02,4.27,0.0,0.0,4.35,4.13,26408337
Solaria,2025-01-02,8.28,0.0,0.0,8.3,7.91,1214657
Telefónica,2025-01-02,3.71,0.0,0.0,3.71,3.65,6822021
Unicaja,2025-01-02,1.17,0.0,0.0,1.19,1.13,5335087
ACS,2025-01-03,46.53,-0.33,-0.7,46.95,46.53,156129
Acciona,2025-01-03,109.73,1.64,1.52,110.12,108.09,51563
Acerinox,2025-01-03,8.89,-0.01,-0.15,8.95,8.78,577540
Aena,2025-01-03,19.31,0.04,0.2,19.37,19.18,860880
Amadeus,2025-01-03,65.4,-1.32,-1.98,66.62,65.28,314803
BBVA,2025-01-03,8.8,0.02,0.22,8.83,8.72,5626158
CaixaBank,2025-01-03,4.89,0.0,0.08,4.91,4.86,6601666
Cellnex,2025-01-03,30.21,-0.53,-1.73,30.94,30.21,919570
Colonial,2025-01-03,4.95,-0.03,-0.57,5.0,4.95,780746
Enagás,2025-01-03,11.51,-0.1,-0.84,11.64,11.47,1630416
Endesa,2025-01-03,19.67,-0.05,-0.24,19.81,19.61,873124
Ferrovial,2025-01-03,39.9,-0.28,-0.69,40.23,39.82,443813
Grifols,2025-01-03,9.29,-0.06,-0.61,9.48,9.22,927202
IAG,2025-01-03,3.51,-0.05,-1.4,3.58,3.47,8666039
Iberdrola,2025-01-03,13.0,0.16,1.25,13.02,12.84,12710109
Inditex,2025-01-03,48.28,-0.33,-0.68,48.8,48.24,952342
Indra,2025-01-03,17.5,0.42,2.44,17.72,17.14,449024
Logista,2025-01-03,26.22,0.07,0.27,26.27,26.09,112735
Mapfre,2025-01-03,2.36,-0.0,-0.16,2.37,2.36,861851
Meliá,2025-01-03,7.14,-0.2,-2.67,7.33,7.12,226044
Merlin,2025-01-03,9.83,0.02,0.2,9.87,9.78,580495
Naturgy,2025-01-03,22.47,0.09,0.42,22.53,22.3,153111
Redeia,2025-01-03,15.69,-0.09,-0.54,15.82,15.64,503206
Repsol,2025-01-03,10.63,0.01,0.08,10.71,10.63,3513957
Sabadell,2025-01-03,1.71,0.0,0.16,1.71,1.7,4903226
Sacyr,2025-01-03,3.05,-0.0,-0.12,3.08,3.04,945862
Santander,2025-01-03,4.27,-0.0,-0.1,4.29,4.25,22705900
Solaria,2025-01-03,8.48,0.2,2.41,8.52,8.31,936718
Telefónica,2025-01-03,3.69,-0.02,-0.5,3.73,3.68,5740091
Unicaja,2025-01-03,1.19,0.02,1.67,1.19,1.17,3598193
ACS,2025-01-06,46.51,-0.02,-0.04,47.03,46.05,218008
Acciona,2025-01-06,109.15,-0.58,-0.53,110.22,107.8,46870
Acerinox,2025-01-06,9.06,0.17,1.91,9.09,8.92,797303
Aena,2025-01-06,19.18,-0.13,-0.69,19.37,19.02,873280
Amadeus,2025-01-06,66.27,0.87,1.34,66.39,65.61,399484
BBVA,2025-01-06,9.2,0.4,4.57,9.21,8.82,10516842
CaixaBank,2025-01-06,5.01,0.12,2.38,5.01,4.88,8566124
Cellnex,2025-01-06,29.81,-0.39,-1.31,30.46,29.81,2478201
Colonial,2025-01-06,4.92,-0.03,-0.58,4.99,4.91,887654
Enagás,2025-01-06,11.49,-0.02,-0.17,11.55,11.39,1062783
Endesa,2025-01-06,19.79,0.12,0.63,19.82,19.59,792077
Ferrovial,2025-01-06,40.13,0.24,0.59,40.17,39.76,491056
Grifols,2025-01-06,9.45,0.16,1.7,9.48,9.3,1043132
IAG,2025-01-06,3.48,-0.03,-0.75,3.51,3.29,25860989
Iberdrola,2025-01-06,13.05,0.05,0.4,13.05,12.86,10427280
Inditex,2025-01-06,49.19,0.91,1.88,49.32,48.21,1355155
Indra,2025-01-06,17.44,-0.06,-0.34,17.61,17.37,409371
Logista,2025-01-06,26.31,0.09,0.34,26.34,25.99,145107
Mapfre,2025-01-06,2.37,0.01,0.49,2.37,2.34,1189328
Meliá,2025-01-06,7.17,0.03,0.41,7.22,7.12,190139
Merlin,2025-01-06,9.8,-0.03,-0.29,9.87,9.75,360120
Naturgy,2025-01-06,22.25,-0.22,-1.0,22.49,22.1,196961
Redeia,2025-01-06,15.63,-0.06,-0.36,15.7,15.5,588475
Repsol,2025-01-06,10.76,0.13,1.22,10.77,10.61,17141341
Sabadell,2025-01-06,1.78,0.07,4.13,1.78,1.71,13084261
Sacyr,2025-01-06,3.03,-0.03,-0.93,3.08,3.01,1243817
Santander,2025-01-06,4.42,0.15,3.44,4.42,4.28,23517368
Solaria,2025-01-06,8.06,-0.42,-5.01,8.57,8.03,1328400
Telefónica,2025-01-06,3.67,-0.01,-0.35,3.71,3.66,5606081
Unicaja,2025-01-06,1.2,0.01,1.17,1.21,1.17,6070026
ACS,2025-01-07,45.9,-0.61,-1.32,46.72,45.71,202094
Acciona,2025-01-07,108.67,-0.48,-0.44,110.41,108.48,66637
Acerinox,2025-01-07,9.06,0.0,0.05,9.14,9.02,659480
Aena,2025-01-07,19.3,0.11,0.6,19.37,18.82,1900290
Amadeus,2025-01-07,66.27,0.0,0.0,66.5,65.92,1955474
BBVA,2025-01-07,9.33,0.12,1.33,9.38,9.07,12689770
CaixaBank,2025-01-07,5.0,-0.01,-0.11,5.02,4.92,9757609
Cellnex,2025-01-07,29.1,-0.71,-2.38,29.92,29.1,2192970
Colonial,2025-01-07,4.92,0.0,0.1,5.0,4.92,1009007
Enagás,2025-01-07,11.56,0.07,0.59,11.63,11.42,1023310
Endesa,2025-01-07,19.87,0.08,0.39,19.87,19.64,1209028
Ferrovial,2025-01-07,40.0,-0.14,-0.34,40.41,39.94,409352
Grifols,2025-01-07,9.5,0.05,0.54,9.52,9.31,1354078
IAG,2025-01-07,3.57,0.09,2.58,3.57,3.47,9629821
Iberdrola,2025-01-07,12.96,-0.09,-0.69,13.11,12.95,7176273
Inditex,2025-01-07,49.11,-0.08,-0.16,49.61,48.64,1837507
Indra,2025-01-07,17.71,0.27,1.54,17.75,17.43,470237
Logista,2025-01-07,26.38,0.07,0.27,26.52,26.17,128573
Mapfre,2025-01-07,2.38,0.01,0.32,2.39,2.34,1115745
Meliá,2025-01-07,7.15,-0.01,-0.21,7.21,7.08,174982
Merlin,2025-01-07,10.03,0.22,2.26,10.14,9.9,901887
Naturgy,2025-01-07,22.19,-0.06,-0.25,22.26,22.04,127551
Redeia,2025-01-07,15.6,-0.03,-0.18,15.73,15.52,496860
Repsol,2025-01-07,10.61,-0.15,-1.37,10.73,10.56,6095006
Sabadell,2025-01-07,1.78,-0.0,-0.15,1.79,1.75,12399881
Sacyr,2025-01-07,3.02,-0.01,-0.25,3.05,3.01,1399617
Santander,2025-01-07,4.46,0.04,0.97,4.47,4.33,29366993
Solaria,2025-01-07,8.02,-0.04,-0.5,8.15,7.99,584730
Telefónica,2025-01-07,3.64,-0.03,-0.88,3.66,3.63,7485232
Unicaja,2025-01-07,1.2,-0.0,-0.39,1.21,1.19,5478588
